add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,add_num_selfloops,del_num_nodes,contains_bug
38,76,2,2,14,152,4,3,1,19,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
26,42,1.6154,1.6154,12,84,3,2,1,11,FALSE
7,9,1.2857,1.2857,5,18,2,2,1,19,FALSE
9,11,1.2222,1.2222,6,22,2,2,1,0,FALSE
29,48,1.6552,1.6552,12,96,3,2,1,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,37,1.6818,1.6818,9,74,3,3,1,22,FALSE
20,33,1.65,1.65,10,66,3,3,1,17,FALSE
11,17,1.5455,1.5455,8,34,3,3,1,12,FALSE
13,19,1.4615,1.4615,6,38,2,3,1,12,FALSE
8,11,1.375,1.375,6,22,2,2,1,8,FALSE
23,34,1.4783,1.4783,12,68,2,2,1,10,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,25,1.3158,1.3158,9,50,2,2,1,19,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
8,12,1.5,1.5,6,24,3,2,1,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
31,52,1.6774,1.6774,13,104,3,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
14,22,1.5714,1.5714,8,44,3,3,1,14,FALSE
0,0,0,0,0,0,0,0,0,4,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
23,40,1.7391,1.7391,11,80,3,3,1,20,FALSE
8,10,1.25,1.25,6,20,2,2,1,7,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,2,1,9,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
22,41,1.8636,1.8636,11,82,3,3,1,22,FALSE
12,16,1.3333,1.3333,6,32,2,2,1,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
10,15,1.5,1.5,9,30,3,2,1,10,FALSE
26,38,1.4615,1.4615,9,76,3,2,1,25,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
25,45,1.8,1.8,11,90,3,3,1,24,FALSE
10,10,1,1,5,20,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,8,FALSE
16,18,1.125,1.125,7,36,2,2,0,11,FALSE
14,20,1.4286,1.4286,10,40,2,2,1,14,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,39,FALSE
15,21,1.4,1.4,8,42,2,2,1,15,FALSE
5,4,0.8,0.8,4,8,1,1,0,0,FALSE
15,20,1.3333,1.3333,6,40,2,2,0,8,FALSE
14,19,1.3571,1.3571,8,38,2,2,1,8,FALSE
16,18,1.125,1.125,7,36,2,2,0,11,FALSE
12,21,1.75,1.75,10,42,3,3,1,11,FALSE
7,8,1.1429,1.1429,5,16,2,2,0,13,FALSE
13,18,1.3846,1.3846,8,36,2,2,1,12,FALSE
16,18,1.125,1.125,7,36,2,2,0,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
6,4,0.6667,0.6667,3,8,1,1,0,4,FALSE
13,16,1.2308,1.2308,6,32,2,2,1,13,FALSE
17,22,1.2941,1.2941,7,44,2,2,1,23,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
7,10,1.4286,1.4286,5,20,2,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,6,FALSE
6,6,1,1,5,12,2,1,0,6,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
4,3,0.75,0.75,3,6,1,1,0,8,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
28,47,1.6786,1.6786,14,94,3,2,1,13,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,13,FALSE
8,11,1.375,1.375,6,22,3,2,2,6,FALSE
11,12,1.0909,1.0909,5,24,2,2,0,0,FALSE
18,26,1.4444,1.4444,7,52,2,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
19,29,1.5263,1.5263,12,58,3,2,1,13,FALSE
5,5,1,1,3,10,2,2,0,5,FALSE
16,21,1.3125,1.3125,6,42,2,2,1,7,FALSE
13,18,1.3846,1.3846,7,36,2,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,11,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
5,5,1,1,3,10,2,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,FALSE
13,15,1.1538,1.1538,6,30,2,2,1,0,FALSE
