contains_bug,entropy,add_num_nodes,add_num_edges,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_max_degree
False,0.0,0,0,0.0,0,0,0,0,0,0
False,0.0,11,13,1.1818,5,26,2,11,13,5
False,0.0,8,11,1.375,6,22,2,8,9,4
False,0.619382195,24,39,1.625,13,78,3,17,25,11
False,0.904381458,0,0,0.0,0,0,0,0,0,0
False,3.287053016,0,0,0.0,0,0,0,45,99,22
False,0.832554307,23,39,1.6957,13,78,3,3,4,4
False,0.0,10,14,1.4,8,28,2,10,14,8
False,1.336511215,15,21,1.4,7,42,2,4,3,3
False,0.0,0,0,0.0,0,0,0,0,0,0
