contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,add_median_degree,del_num_nodes,del_max_degree
True,28,48,1.7143,1.7143,11,96,3,2,23,10
True,19,26,1.3684,1.3684,12,52,2,2,24,15
True,28,49,1.75,1.75,10,98,3,3,32,13
True,34,70,2.0588,2.0588,17,140,4,3,34,17
True,31,58,1.871,1.871,15,116,3,3,20,10
True,18,28,1.5556,1.5556,10,56,3,2,14,10
True,26,44,1.6923,1.6923,11,88,3,2,26,11
True,16,22,1.375,1.375,9,44,2,2,32,14
True,8,11,1.375,1.375,6,22,2,2,18,10
True,32,59,1.8438,1.8438,16,118,3,3,31,15
True,22,38,1.7273,1.7273,16,76,3,3,26,15
True,8,9,1.125,1.125,6,18,2,2,6,5
True,12,16,1.3333,1.3333,6,32,2,2,7,6
True,22,35,1.5909,1.5909,14,70,3,2,21,13
True,6,7,1.1667,1.1667,5,14,2,1,6,5
True,0,0,0.0,0.0,0,0,0,0,0,0
False,6,7,1.1667,1.1667,5,14,2,2,0,0
False,21,30,1.4286,1.4286,9,60,2,2,8,6
False,27,44,1.6296,1.6296,11,88,3,2,23,9
False,19,31,1.6316,1.6316,7,62,3,3,21,10
False,0,0,0.0,0.0,0,0,0,0,0,0
False,12,15,1.25,1.25,6,30,2,2,0,0
False,30,60,2.0,2.0,15,120,4,3,29,14
False,3,4,1.3333,1.3333,4,8,2,2,10,8
False,20,30,1.5,1.5,8,60,3,2,18,8
False,10,14,1.4,1.4,9,28,2,2,10,9
False,0,0,0.0,0.0,0,0,0,0,0,0
False,14,18,1.2857,1.2857,7,36,2,2,13,7
False,8,9,1.125,1.125,4,18,2,2,8,4
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,0,0,0.0,0.0,0,0,0,0,0,0
False,23,34,1.4783,1.4783,10,68,2,2,12,7
False,27,46,1.7037,1.7037,9,92,3,3,8,6
False,0,0,0.0,0.0,0,0,0,0,0,0
False,8,10,1.25,1.25,5,20,2,2,0,0
False,7,10,1.4286,1.4286,5,20,2,2,7,5
False,6,6,1.0,1.0,4,12,2,1,8,5
False,21,33,1.5714,1.5714,8,66,3,2,16,8
