contains_bug,add_num_nodes,add_num_edges,add_avg_in_degree,add_avg_out_degree,add_max_degree,add_sum_degree,add_avg_degree,del_num_nodes,del_num_edges,del_sum_degree
True,11,15,1.3636,1.3636,8,30,3.0,11,15,30
False,23,42,1.8261,1.8261,12,84,3.82,20,33,66
False,12,18,1.5,1.5,9,36,3.27,12,18,36
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,20,34,1.7,1.7,13,68,3.58,11,17,34
False,39,78,2.0,2.0,18,156,4.11,34,68,136
False,40,87,2.175,2.175,17,174,4.46,28,58,116
False,20,32,1.6,1.6,12,64,3.37,20,33,66
False,12,19,1.5833,1.5833,10,38,3.45,12,19,38
False,29,57,1.9655,1.9655,16,114,4.07,29,57,114
False,9,12,1.3333,1.3333,7,24,3.0,9,12,24
False,17,27,1.5882,1.5882,13,54,3.38,13,20,40
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,11,17,1.5455,1.5455,8,34,3.4,25,41,82
False,16,27,1.6875,1.6875,11,54,3.6,16,27,54
False,26,41,1.5769,1.5769,15,82,3.28,20,30,60
False,14,21,1.5,1.5,9,42,3.23,20,32,64
False,29,59,2.0345,2.0345,13,118,4.21,20,39,78
False,17,30,1.7647,1.7647,11,60,3.75,17,30,60
False,11,14,1.2727,1.2727,7,28,3.11,11,14,28
False,14,20,1.4286,1.4286,9,40,3.08,14,20,40
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,9,12,1.3333,1.3333,7,24,3.0,9,12,24
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,15,25,1.6667,1.6667,11,50,3.57,17,28,56
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,21,36,1.7143,1.7143,13,72,3.6,24,41,82
False,22,41,1.8636,1.8636,16,82,3.9,22,41,82
False,11,18,1.6364,1.6364,9,36,3.6,11,18,36
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,20,42,2.1,2.1,16,84,4.42,21,45,90
False,22,39,1.7727,1.7727,12,78,3.71,11,17,34
False,14,23,1.6429,1.6429,10,46,3.54,13,21,42
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,15,22,1.4667,1.4667,11,44,3.38,15,22,44
False,36,70,1.9444,1.9444,16,140,4.0,11,17,34
False,26,52,2.0,2.0,16,104,4.16,26,53,106
False,25,44,1.76,1.76,11,88,3.83,11,17,34
False,15,25,1.6667,1.6667,13,50,3.57,15,25,50
False,14,25,1.7857,1.7857,9,50,3.85,14,23,46
False,12,19,1.5833,1.5833,10,38,3.45,12,19,38
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,35,67,1.9143,1.9143,14,134,3.94,11,17,34
False,13,21,1.6154,1.6154,11,42,3.5,13,23,46
False,25,41,1.64,1.64,12,82,3.42,13,21,42
False,17,30,1.7647,1.7647,11,60,3.75,17,30,60
False,14,22,1.5714,1.5714,11,44,3.38,14,22,44
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,20,32,1.6,1.6,12,64,3.37,20,33,66
False,42,84,2.0,2.0,20,168,4.1,22,36,72
False,14,22,1.5714,1.5714,12,44,3.38,14,22,44
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,21,35,1.6667,1.6667,12,70,3.5,11,17,34
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,30,62,2.0667,2.0667,17,124,4.28,29,60,120
False,13,21,1.6154,1.6154,9,42,3.5,13,21,42
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,14,21,1.5,1.5,10,42,3.23,14,21,42
False,9,12,1.3333,1.3333,7,24,3.0,9,12,24
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,17,30,1.7647,1.7647,10,60,3.75,13,22,44
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,31,66,2.129,2.129,16,132,4.4,13,20,40
False,24,46,1.9167,1.9167,15,92,4.0,24,43,86
False,28,51,1.8214,1.8214,15,102,3.78,21,37,74
False,15,25,1.6667,1.6667,10,50,3.57,18,30,60
False,13,20,1.5385,1.5385,9,40,3.64,13,20,40
False,33,62,1.8788,1.8788,16,124,3.88,29,53,106
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,20,33,1.65,1.65,13,66,3.47,23,41,82
False,23,39,1.6957,1.6957,13,78,3.55,23,39,78
False,15,23,1.5333,1.5333,9,46,3.29,15,23,46
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,20,34,1.7,1.7,13,68,3.58,20,34,68
False,13,20,1.5385,1.5385,9,40,3.33,13,20,40
False,25,42,1.68,1.68,11,84,3.5,18,31,62
False,19,34,1.7895,1.7895,11,68,3.78,19,34,68
False,26,48,1.8462,1.8462,17,96,3.84,26,50,100
False,14,20,1.4286,1.4286,9,40,3.08,14,20,40
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,12,20,1.6667,1.6667,10,40,3.64,12,20,40
False,18,31,1.7222,1.7222,15,62,3.65,28,47,94
False,12,19,1.5833,1.5833,10,38,3.45,21,33,66
False,16,25,1.5625,1.5625,13,50,3.33,16,25,50
False,21,39,1.8571,1.8571,14,78,3.9,21,39,78
False,33,60,1.8182,1.8182,14,120,3.75,33,61,122
False,18,29,1.6111,1.6111,13,58,3.41,14,23,46
False,40,89,2.225,2.225,20,178,4.56,22,42,84
False,11,17,1.5455,1.5455,8,34,3.4,17,25,50
False,11,17,1.5455,1.5455,8,34,3.4,42,81,162
False,20,32,1.6,1.6,14,64,3.37,16,26,52
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,16,28,1.75,1.75,12,56,3.73,19,33,66
False,26,47,1.8077,1.8077,13,94,3.76,27,50,100
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,35,76,2.1714,2.1714,16,152,4.47,35,76,152
False,20,32,1.6,1.6,12,64,3.37,21,33,66
False,20,32,1.6,1.6,10,64,3.37,19,32,64
False,13,22,1.6923,1.6923,9,44,3.67,13,22,44
False,17,26,1.5294,1.5294,10,52,3.25,11,17,34
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,13,21,1.6154,1.6154,9,42,3.5,13,21,42
False,26,52,2.0,2.0,16,104,4.16,25,49,98
False,31,61,1.9677,1.9677,14,122,4.07,31,61,122
False,34,62,1.8235,1.8235,15,124,3.76,16,24,48
False,17,33,1.9412,1.9412,13,66,4.12,17,33,66
False,21,33,1.5714,1.5714,15,66,3.3,16,26,52
False,21,36,1.7143,1.7143,13,72,3.6,15,22,44
False,13,22,1.6923,1.6923,9,44,3.67,13,22,44
False,15,26,1.7333,1.7333,13,52,3.71,15,26,52
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,24,46,1.9167,1.9167,16,92,4.0,24,46,92
False,33,74,2.2424,2.2424,19,148,4.62,33,74,148
False,22,34,1.5455,1.5455,13,68,3.24,22,33,66
False,15,26,1.7333,1.7333,13,52,3.71,15,26,52
False,35,76,2.1714,2.1714,16,152,4.47,35,76,152
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,33,64,1.9394,1.9394,18,128,4.0,33,64,128
False,12,19,1.5833,1.5833,10,38,3.45,12,19,38
False,25,49,1.96,1.96,13,98,4.08,25,49,98
False,20,30,1.5,1.5,10,60,3.16,16,24,48
False,23,40,1.7391,1.7391,16,80,3.64,23,39,78
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,11,16,1.4545,1.4545,7,32,3.2,11,16,32
False,11,17,1.5455,1.5455,8,34,3.4,15,24,48
False,34,62,1.8235,1.8235,16,124,3.76,34,62,124
False,11,18,1.6364,1.6364,9,36,3.6,11,17,34
False,26,46,1.7692,1.7692,16,92,3.68,28,50,100
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,12,19,1.5833,1.5833,8,38,3.45,12,17,34
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,18,31,1.7222,1.7222,15,62,3.65,28,47,94
False,23,40,1.7391,1.7391,13,80,3.64,23,40,80
False,12,20,1.6667,1.6667,9,40,3.64,12,20,40
False,23,38,1.6522,1.6522,14,76,3.45,23,38,76
False,23,40,1.7391,1.7391,16,80,3.64,23,39,78
False,12,19,1.5833,1.5833,10,38,3.45,12,19,38
False,10,13,1.3,1.3,8,26,2.89,10,13,26
False,18,30,1.6667,1.6667,9,60,3.53,13,21,42
False,20,32,1.6,1.6,10,64,3.37,19,32,64
False,13,22,1.6923,1.6923,9,44,3.67,13,23,46
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,19,35,1.8421,1.8421,11,70,3.89,19,35,70
False,10,15,1.5,1.5,8,30,3.33,10,15,30
False,14,23,1.6429,1.6429,10,46,3.54,14,23,46
False,22,39,1.7727,1.7727,14,78,3.71,20,36,72
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,12,19,1.5833,1.5833,9,38,3.45,12,19,38
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,14,22,1.5714,1.5714,11,44,3.38,14,22,44
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,15,26,1.7333,1.7333,13,52,3.71,15,26,52
False,11,17,1.5455,1.5455,8,34,3.4,17,25,50
False,17,28,1.6471,1.6471,12,56,3.5,17,28,56
False,14,22,1.5714,1.5714,12,44,3.38,14,22,44
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,29,55,1.8966,1.8966,18,110,3.93,29,55,110
False,37,72,1.9459,1.9459,15,144,4.0,37,72,144
False,38,72,1.8947,1.8947,17,144,3.89,38,73,146
False,16,27,1.6875,1.6875,13,54,3.6,10,13,26
False,13,19,1.4615,1.4615,9,38,3.45,13,21,42
False,13,21,1.6154,1.6154,11,42,3.5,13,21,42
False,14,25,1.7857,1.7857,9,50,3.85,14,25,50
False,26,52,2.0,2.0,16,104,4.16,26,53,106
False,11,17,1.5455,1.5455,8,34,3.4,11,17,34
False,11,16,1.4545,1.4545,7,32,3.2,11,16,32
False,12,18,1.5,1.5,9,36,3.27,13,20,40
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,20,29,1.45,1.45,11,58,3.05,20,29,58
False,26,48,1.8462,1.8462,17,96,3.84,26,50,100
False,9,12,1.3333,1.3333,7,24,3.0,9,12,24
False,13,21,1.6154,1.6154,8,42,3.5,13,21,42
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,14,22,1.5714,1.5714,11,44,3.38,11,17,34
False,13,22,1.6923,1.6923,9,44,3.67,11,18,36
False,12,19,1.5833,1.5833,10,38,3.45,12,19,38
False,15,26,1.7333,1.7333,13,52,3.71,15,26,52
False,14,25,1.7857,1.7857,9,50,3.85,14,23,46
False,26,45,1.7308,1.7308,16,90,3.6,26,45,90
False,22,37,1.6818,1.6818,11,74,3.52,22,37,74
False,17,25,1.4706,1.4706,10,50,3.12,13,19,38
False,11,17,1.5455,1.5455,8,34,3.4,12,20,40
False,13,22,1.6923,1.6923,9,44,3.67,13,22,44
False,17,41,2.4118,2.4118,15,82,5.12,17,41,82
False,15,22,1.4667,1.4667,8,44,3.14,15,22,44
False,9,12,1.3333,1.3333,7,24,3.0,9,12,24
False,17,27,1.5882,1.5882,10,54,3.38,17,25,50
False,12,21,1.75,1.75,10,42,3.82,12,21,42
False,12,20,1.6667,1.6667,10,40,3.64,12,20,40
False,18,26,1.4444,1.4444,11,52,3.06,14,20,40
False,16,25,1.5625,1.5625,8,50,3.33,16,25,50
False,23,37,1.6087,1.6087,14,74,3.36,23,37,74
False,19,32,1.6842,1.6842,13,64,3.56,16,24,48
False,26,45,1.7308,1.7308,16,90,3.6,26,45,90
False,13,22,1.6923,1.6923,8,44,3.67,13,22,44
False,11,18,1.6364,1.6364,9,36,3.6,11,17,34
False,29,59,2.0345,2.0345,13,118,4.21,20,39,78
False,11,18,1.6364,1.6364,8,36,3.6,11,18,36
False,13,20,1.5385,1.5385,9,40,3.33,13,20,40
False,24,44,1.8333,1.8333,16,88,3.83,13,20,40
False,31,61,1.9677,1.9677,14,122,4.07,31,61,122
False,23,38,1.6522,1.6522,13,76,3.45,26,42,84
False,13,21,1.6154,1.6154,9,42,3.5,13,21,42
