commit_hash,contains_bug,argument expr name,argument expr name name,argument_list argument expr name name,argument_list if,argument_list if_stmt,argument_list if_stmt if,argument_list if_stmt if condition,argument_list if_stmt if condition expr,block block,block block_content,block block_content comment,block block_content comment type,block block_content expr,block block_content expr_stmt,block block_content expr_stmt expr,block block_content expr_stmt expr name,block_content comment,block_content comment type,condition expr name operator name,else block,else block block_content,expr name,expr name name,expr name name operator,expr name name operator name,expr name operator name,expr operator name name literal,expr operator name name operator,expr_stmt expr name name operator,function,incr,incr expr
40b3f06f9d13b19ce0ceb16b9c10e1772c5acdd7,0,43,2,1,0,0,0,0,0,20,20,0,0,8,8,8,2,0,0,0,0,0,54,4,2,1,0,0,0,0,3,0,0
5e45cf89eb60cbe62aa5e809dd432af4fa4fd77c,1,4,0,0,0,0,0,0,0,6,6,1,1,3,3,3,0,1,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0
4c5606ee29e767db929999d906a66e9db32d7c68,1,543,209,83,4,4,4,4,4,113,113,2,2,29,29,24,13,2,2,2,5,3,735,306,148,95,16,2,1,10,57,0,0
3597bc4bf4b22eef4585de211bea7593d8b69035,1,117,49,12,1,1,1,1,1,15,15,0,0,6,6,6,2,0,0,3,3,3,167,72,29,22,10,0,0,1,4,2,2
4ff0b2f82c6b87266d9bab90cb273dab39bd6dda,1,321,104,39,6,6,6,6,6,194,193,10,10,63,63,63,40,10,10,4,12,12,561,188,95,67,54,1,0,20,93,2,2
e7294aab77dcd0501576c0639bc644ca7a0015c2,1,245,60,41,13,13,12,12,12,211,211,2,2,101,100,100,49,2,2,5,17,17,490,92,77,73,30,1,2,4,71,7,7
f389654f9c0763127df748769b9239a510e4dea8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
1e79c3b98e532cca4f1536301f2100d7dd1a96cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
f50e4dbf5184d0ccddb86f72b7163c0ba7b7e5ad,0,12,0,0,1,1,1,1,1,16,16,0,0,10,10,10,2,0,0,0,3,3,30,4,3,1,2,0,0,0,3,0,0
612d9227dec4803fd648d605592ff72d9a2a2355,1,42,3,3,6,6,6,6,6,41,41,3,3,25,25,25,6,3,3,1,3,3,79,6,5,4,3,1,1,0,7,2,2
5ba9ca4be2a250bd470baac69ee92a066df8921a,0,3,0,0,0,0,0,0,0,4,4,0,0,2,2,2,0,0,0,0,1,1,8,2,1,0,0,0,0,0,0,0,0
50baab7c4bdcde50ae6da4c1e061f650dbf2b7a8,1,39,7,6,1,1,1,1,1,15,15,1,1,1,1,1,1,1,1,0,0,0,60,13,9,8,2,1,0,4,5,0,0
f7707d7d912dd4f192eb48e758d74f52858b097a,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,1,0,0,0,0,0
5a2d0bc654ba52c8499b7de2db88ecdbaaa98d74,1,285,58,23,8,8,8,8,8,234,234,17,17,80,80,80,45,17,17,27,14,14,703,156,77,75,131,1,1,12,121,9,9
e312ee6bfa89b0658f86b11c9724e9b9a6d91c04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0
826a1723409bd70ab1f8831ebad0a98e55a9550c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
a8032b063715f4418ccc2fd5c7d0f93ba79c66ef,1,57,10,4,0,0,0,0,0,6,6,1,1,2,2,2,0,1,1,0,0,0,64,15,4,3,0,1,0,1,4,1,1
0dec2d10174a262283f7c32987a45295a43bc0eb,1,23,14,5,1,1,1,1,1,8,8,1,1,0,0,0,0,1,1,1,0,0,48,25,18,17,4,1,1,0,1,1,1
fa52907742dc65d3145a4db11ca00fac5a5a3fca,1,15,6,4,0,0,0,0,0,13,13,1,1,9,9,9,5,1,1,3,0,0,42,14,12,11,7,1,0,4,5,2,2
3b2e04d6a926cb5afc0bcd20c56c01dae2f6cf98,1,45,24,13,0,0,0,0,0,22,22,1,1,14,14,14,4,1,1,4,1,1,95,39,30,27,10,1,2,2,5,3,3
2d4e789d00ecb5dfaf73e7df01a7da4502c404a9,1,1279,263,150,24,24,24,24,24,695,695,35,35,184,182,181,115,35,35,45,43,35,2579,529,232,189,188,1,8,39,276,37,27
00b29b4298be4e850e5df263371790ef84b3288f,0,169,44,22,0,0,0,0,0,34,34,0,0,7,7,7,6,0,0,0,0,0,510,111,35,0,3,0,0,0,6,4,2
b549619dc870704be02ce1c67c32002368e2d369,1,79,25,5,0,0,0,0,0,4,4,0,0,3,3,3,3,0,0,0,0,0,104,35,6,4,5,0,0,1,1,0,0
8f54a18e1a3af5d339e66e370c422033cf21915f,0,99,14,3,0,0,0,0,0,29,29,1,1,18,18,18,2,1,1,0,0,0,125,26,19,18,7,0,0,6,5,0,0
f5b5d3e17f6ca8b649ef1364726726a0b92d9921,1,202,66,33,3,3,3,3,3,59,59,1,1,42,42,42,8,1,1,2,0,0,349,118,76,39,22,1,3,4,6,3,3
232aaa42ed3d136672881d1bd1563aa29945fdbf,0,6,2,1,2,2,2,2,2,6,6,0,0,6,6,6,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,0,0
a181dc07353975b9fbf8721bf24cc56edf262b96,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,0
e61398084d3f1ca0f28c5c35d3318645d7a401ec,1,295,60,46,12,11,11,11,11,179,179,9,9,52,52,52,21,9,9,5,19,19,538,120,50,40,46,1,2,6,65,11,8
e6231ad585c5a1799d881ebf2f25a917546fe795,1,159,14,2,4,4,4,4,4,53,53,14,14,15,15,15,11,14,14,6,8,8,256,30,28,24,17,0,0,0,2,8,6
aa22ceb97db65d51b2e38d2b4c7cdefcb82c0c3d,1,1238,237,128,28,28,28,28,28,620,620,46,46,262,262,262,71,46,46,4,26,26,1879,334,227,219,52,1,1,51,172,19,19
f33c2917e30ccf5f564d01d35c93d0e804260b4a,1,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,11,6,5,4,0,0,0,2,0,0,0
5f618b8000d92f650029f465013539daac3fe6f5,1,14,6,3,0,0,0,0,0,4,4,0,0,4,4,4,2,0,0,0,2,2,30,13,8,6,1,0,0,3,0,0,0
52d2d3fd6f8be7f4285f7c4a8a6898bcde63b876,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,0,1,0,0,1,0,0,0
2c34cb858ec0f02c63615417a2fe044971250af0,0,9,5,1,0,0,0,0,0,3,3,0,0,1,1,1,0,0,0,0,0,0,19,7,5,4,1,0,0,0,3,0,0
b895ebde4340ed8ae903c7ae51750da3d9837394,1,586,63,29,0,0,0,0,0,243,243,15,15,119,119,119,48,15,15,71,18,18,1029,140,62,58,209,1,2,16,107,34,29
64dfbfdfb21972444aa05c9da29d19d0351fe6f1,1,6,5,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,11,8,3,2,0,0,0,0,0,0,0
c1ec7aa8df668cb02af45d1363d8133e65536b37,1,32,12,4,0,0,0,0,0,6,6,1,1,2,2,2,1,1,1,5,0,0,48,16,2,1,11,0,0,0,1,0,0
376b331651bf3f5ab314eb3b3f66de836f8d1a9b,0,12,4,3,0,0,0,0,0,7,7,2,2,2,2,2,1,2,2,1,1,1,35,16,10,7,4,0,0,1,0,0,0
145772accbd21cf64216ce62ce713308b4381d76,0,25,7,4,1,1,1,1,1,11,11,3,3,7,7,7,5,3,3,0,1,1,52,20,12,5,5,0,0,3,4,0,0
d6b40cc39a2f431790be1c26086873567cf68d9b,0,8,2,2,0,0,0,0,0,12,12,0,0,7,7,7,1,0,0,0,1,1,24,8,3,2,1,0,0,0,0,0,0
c672b5630502793455a339d23f046d20ca354714,0,16,1,1,0,0,0,0,0,10,10,0,0,6,6,6,3,0,0,0,0,0,32,3,2,1,2,0,0,0,2,0,0
